canonical_keyword,suggested_title,category,variant_count,signal_strength,cluster_size,all_variants,merged_from
How to set up a Windsurf board,How to set up a Windsurf board,howto,5,high,3,how to set up a windsurf board | how to set up your windsurf board | how to set up windsurf board | how to make a windsurf board | how to build a windsurf board,How to set up a Windsurf board | How to make a Windsurf board | How to build a Windsurf board
How to add Windsurf rules,How to add Windsurf rules,howto,3,medium,1,how to add rules in windsurf | how to add windsurf rules | how to add rules to windsurf,
How to add mcp server to Windsurf,How to add mcp server to Windsurf,howto,3,medium,2,how to add mcp server to windsurf | how to add mcp server in windsurf | how to add mcp server in windsurf ide,How to add mcp server to Windsurf | How to add mcp server in Windsurf ide
How to set up a Windsurf sail,How to set up a Windsurf sail,howto,3,medium,2,how to set up windsurf sail | how to set up a windsurf sail | how to make a windsurf sail,How to set up a Windsurf sail | How to make a Windsurf sail
How to Windsurf for beginners,How to Windsurf for beginners,howto,3,medium,3,how to windsurf for beginners | how to windsurf beginner guide | how to windsurf beginner,How to Windsurf for beginners | How to Windsurf beginner guide | How to Windsurf beginner
How to change Windsurf theme,How to change Windsurf theme,howto,2,low,1,how to change windsurf theme | how to change theme in windsurf,
How to add mcp to Windsurf,How to add mcp to Windsurf,howto,2,low,1,how to add mcp to windsurf | how to add mcp in windsurf,
How to use claude code in Windsurf,How to use claude code in Windsurf,howto,2,low,1,how to use claude code in windsurf | how to use claude code with windsurf,
How to add docs to Windsurf,How to add docs to Windsurf,howto,2,low,1,how to add docs to windsurf | how to add docs in windsurf,
How to rig a Windsurf sail,How to rig a Windsurf sail,howto,2,low,1,how to rig windsurf sail | how to rig a windsurf sail,
How to choose a Windsurf board,How to choose a Windsurf board,howto,2,low,1,how to choose windsurf board | how to choose a windsurf board,
How to use claude in Windsurf,How to use claude in Windsurf,howto,2,low,1,how to use claude with windsurf | how to use claude in windsurf,
How to foil Windsurf,How to foil Windsurf,howto,2,low,1,how to foil windsurf | how to windsurf foil,
How to open Windsurf chat,How to open Windsurf chat,howto,2,low,1,how to open windsurf chat | how to open chat in windsurf,
how to connect windsurf to github,How to Integrate Windsurf with Github,integration,2,low,1,how to connect windsurf to github | how to connect github to windsurf,
How to open Windsurf from terminal,How to open Windsurf from terminal,howto,2,low,2,how to open windsurf from terminal | how to open terminal in windsurf,How to open Windsurf from terminal | How to open terminal in Windsurf
How to install Windsurf ide,How to install Windsurf ide,howto,2,low,2,how to install windsurf ide | how to install windsurf in vscode,How to install Windsurf ide | How to install Windsurf in vscode
How to install Windsurf in ubuntu,How to install Windsurf in ubuntu,howto,2,low,2,how to install windsurf in ubuntu | how to install windsurf on ubuntu,How to install Windsurf in ubuntu | How to install Windsurf on ubuntu
