canonical_keyword,suggested_title,category,variant_count,signal_strength,already_covered,all_variants
How to set up a Windsurf board,How to set up a Windsurf board,howto,3,medium,False,how to set up a windsurf board | how to set up your windsurf board | how to set up windsurf board
How to add Windsurf rules,How to add Windsurf rules,howto,3,medium,False,how to add rules in windsurf | how to add windsurf rules | how to add rules to windsurf
How to change Windsurf theme,How to change Windsurf theme,howto,2,low,False,how to change windsurf theme | how to change theme in windsurf
How to add mcp server to Windsurf,How to add mcp server to Windsurf,howto,2,low,False,how to add mcp server to windsurf | how to add mcp server in windsurf
How to add mcp to Windsurf,How to add mcp to Windsurf,howto,2,low,False,how to add mcp to windsurf | how to add mcp in windsurf
How to use claude code in Windsurf,How to use claude code in Windsurf,howto,2,low,False,how to use claude code in windsurf | how to use claude code with windsurf
How to add docs to Windsurf,How to add docs to Windsurf,howto,2,low,False,how to add docs to windsurf | how to add docs in windsurf
How to rig a Windsurf sail,How to rig a Windsurf sail,howto,2,low,False,how to rig windsurf sail | how to rig a windsurf sail
How to choose a Windsurf board,How to choose a Windsurf board,howto,2,low,False,how to choose windsurf board | how to choose a windsurf board
How to use claude in Windsurf,How to use claude in Windsurf,howto,2,low,False,how to use claude with windsurf | how to use claude in windsurf
How to foil Windsurf,How to foil Windsurf,howto,2,low,False,how to foil windsurf | how to windsurf foil
How to set up a Windsurf sail,How to set up a Windsurf sail,howto,2,low,False,how to set up windsurf sail | how to set up a windsurf sail
How to open Windsurf chat,How to open Windsurf chat,howto,2,low,False,how to open windsurf chat | how to open chat in windsurf
how to connect windsurf to github,How to Integrate Windsurf with Github,integration,2,low,False,how to connect windsurf to github | how to connect github to windsurf
How to send email in Windsurf,How to send email in Windsurf,howto,1,low,False,how to send email in windsurf
How to open Windsurf from terminal,How to open Windsurf from terminal,howto,1,low,False,how to open windsurf from terminal
How to use mcp in Windsurf,How to use mcp in Windsurf,howto,1,low,False,how to use mcp in windsurf
How to uninstall Windsurf,How to uninstall Windsurf,howto,1,low,False,how to uninstall windsurf
How to start a new project in Windsurf,How to start a new project in Windsurf,howto,1,low,False,how to start a new project in windsurf
How to get Windsurf student discount,How to get Windsurf student discount,howto,1,low,False,how to get windsurf student discount
How to open cascade in Windsurf,How to open cascade in Windsurf,howto,1,low,False,how to open cascade in windsurf
How to cancel Windsurf subscription,How to cancel Windsurf subscription,howto,1,low,False,how to cancel windsurf subscription
How to install Windsurf,How to install Windsurf,howto,1,low,False,how to install windsurf
How to Windsurf for beginners,How to Windsurf for beginners,howto,1,low,False,how to windsurf for beginners
How to open terminal in Windsurf,How to open terminal in Windsurf,howto,1,low,False,how to open terminal in windsurf
How to update Windsurf,How to update Windsurf,howto,1,low,False,how to update windsurf
How to Windsurf beginner guide,How to Windsurf beginner guide,howto,1,low,False,how to windsurf beginner guide
How to make a Windsurf sail,How to make a Windsurf sail,howto,1,low,False,how to make a windsurf sail
How to setup Windsurf,How to setup Windsurf,howto,1,low,False,how to setup windsurf
How to install Windsurf on linux,How to install Windsurf on linux,howto,1,low,False,how to install windsurf on linux
How to Windsurf 101,How to Windsurf 101,howto,1,low,False,how to windsurf 101
How to get Windsurf for free,How to get Windsurf for free,howto,1,low,False,how to get windsurf for free
How to Windsurf basics,How to Windsurf basics,howto,1,low,False,how to windsurf basics
How to import vscode settings to Windsurf,How to import vscode settings to Windsurf,howto,1,low,False,how to import vscode settings to windsurf
How to uninstall Windsurf in mac,How to uninstall Windsurf in mac,howto,1,low,False,how to uninstall windsurf in mac
How to open ai chat in Windsurf,How to open ai chat in Windsurf,howto,1,low,False,how to open ai chat in windsurf
How to make a Windsurf board,How to make a Windsurf board,howto,1,low,False,how to make a windsurf board
How to paint a Windsurf board,How to paint a Windsurf board,howto,1,low,False,how to paint a windsurf board
How to switch to code mode in Windsurf,How to switch to code mode in Windsurf,howto,1,low,False,how to switch to code mode in windsurf
How to Windsurf downwind,How to Windsurf downwind,howto,1,low,False,how to windsurf downwind
How to restart Windsurf,How to restart Windsurf,howto,1,low,False,how to restart windsurf
How to assemble Windsurf sail,How to assemble Windsurf sail,howto,1,low,False,how to assemble windsurf sail
How to uninstall Windsurf in ubuntu,How to uninstall Windsurf in ubuntu,howto,1,low,False,how to uninstall windsurf in ubuntu
How to install Windsurf ide,How to install Windsurf ide,howto,1,low,False,how to install windsurf ide
How to carry Windsurf gear,How to carry Windsurf gear,howto,1,low,False,how to carry windsurf gear
How to install claude code in Windsurf,How to install claude code in Windsurf,howto,1,low,False,how to install claude code in windsurf
How to log out of Windsurf,How to log out of Windsurf,howto,1,low,False,how to log out of windsurf
How to use local llm in Windsurf ai edi,How to use local llm in Windsurf ai edi,howto,1,low,False,how to use local llm in windsurf ai edi
How to build a Windsurf board,How to build a Windsurf board,howto,1,low,False,how to build a windsurf board
How to get up on a Windsurf board,How to get up on a Windsurf board,howto,1,low,False,how to get up on a windsurf board
How to jibe Windsurf,How to jibe Windsurf,howto,1,low,False,how to jibe windsurf
How to Windsurf against the wind,How to Windsurf against the wind,howto,1,low,False,how to windsurf against the wind
How to get started with Windsurf,How to get started with Windsurf,howto,1,low,False,how to get started with windsurf
How to choose Windsurf sail size,How to choose Windsurf sail size,howto,1,low,False,how to choose windsurf sail size
How to tack on a Windsurf,How to tack on a Windsurf,howto,1,low,False,how to tack on a windsurf
How to tie Windsurf boom to mast,How to tie Windsurf boom to mast,howto,1,low,False,how to tie windsurf boom to mast
How to check Windsurf credits,How to check Windsurf credits,howto,1,low,False,how to check windsurf credits
How to use cascade in Windsurf,How to use cascade in Windsurf,howto,1,low,False,how to use cascade in windsurf
How to use ai in Windsurf,How to use ai in Windsurf,howto,1,low,False,how to use ai in windsurf
How to get started with Windsurf free tier,How to get started with Windsurf free tier,howto,1,low,False,how to get started with windsurf free tier
How to Windsurf upwind,How to Windsurf upwind,howto,1,low,False,how to windsurf upwind
How to reset Windsurf,How to reset Windsurf,howto,1,low,False,how to reset windsurf
How to add mcp server in Windsurf ide,How to add mcp server in Windsurf ide,howto,1,low,False,how to add mcp server in windsurf ide
How to install Windsurf on arch linux,How to install Windsurf on arch linux,howto,1,low,False,how to install windsurf on arch linux
How to choose Windsurf board size,How to choose Windsurf board size,howto,1,low,False,how to choose windsurf board size
How to add documentation to Windsurf,How to add documentation to Windsurf,howto,1,low,False,how to add documentation to windsurf
How to Windsurf beginner,How to Windsurf beginner,howto,1,low,False,how to windsurf beginner
How to install extensions in Windsurf ide,How to install extensions in Windsurf ide,howto,1,low,False,how to install extensions in windsurf ide
How to install Windsurf in vscode,How to install Windsurf in vscode,howto,1,low,False,how to install windsurf in vscode
How to steer a Windsurf board,How to steer a Windsurf board,howto,1,low,False,how to steer a windsurf board
How to open Windsurf chat in vscode,How to open Windsurf chat in vscode,howto,1,low,False,how to open windsurf chat in vscode
How to download Windsurf,How to download Windsurf,howto,1,low,False,how to download windsurf
How to Windsurf into the wind,How to Windsurf into the wind,howto,1,low,False,how to windsurf into the wind
How to turn a Windsurf board,How to turn a Windsurf board,howto,1,low,False,how to turn a windsurf board
How to clear Windsurf cache,How to clear Windsurf cache,howto,1,low,False,how to clear windsurf cache
How to add Windsurf to intellij,How to add Windsurf to intellij,howto,1,low,False,how to add windsurf to intellij
How to use figma mcp in Windsurf,How to use figma mcp in Windsurf,howto,1,low,False,how to use figma mcp in windsurf
How to get Windsurf pro for free,How to get Windsurf pro for free,howto,1,low,False,how to get windsurf pro for free
How to install Windsurf in ubuntu,How to install Windsurf in ubuntu,howto,1,low,False,how to install windsurf in ubuntu
How to trust the workspace in Windsurf,How to trust the workspace in Windsurf,howto,1,low,False,how to trust the workspace in windsurf
How to turn on a Windsurf board,How to turn on a Windsurf board,howto,1,low,False,how to turn on a windsurf board
How to convert Windsurf board to sup,How to convert Windsurf board to sup,howto,1,low,False,how to convert windsurf board to sup
How to use codex in Windsurf,How to use codex in Windsurf,howto,1,low,False,how to use codex in windsurf
How to use mcp server in Windsurf,How to use mcp server in Windsurf,howto,1,low,False,how to use mcp server in windsurf
How to get Windsurf auth token,How to get Windsurf auth token,howto,1,low,False,how to get windsurf auth token
How to open ai in Windsurf,How to open ai in Windsurf,howto,1,low,False,how to open ai in windsurf
How to create a new project in Windsurf,How to create a new project in Windsurf,howto,1,low,False,how to create a new project in windsurf
How to install Windsurf on ubuntu,How to install Windsurf on ubuntu,howto,1,low,False,how to install windsurf on ubuntu
How to install Windsurf in intellij,How to install Windsurf in intellij,howto,1,low,False,how to install windsurf in intellij
how to integrate windsurf with vscode editor,How to Integrate Windsurf with Vscode Edi,integration,1,low,False,how to integrate windsurf with vscode editor
windsurf ai how to use,windsurf ai how to use,other,1,low,False,windsurf ai how to use
windsurf mcp how to add server,windsurf mcp how to add server,other,1,low,False,windsurf mcp how to add server
learning how to windsurf,learning how to windsurf,other,1,low,False,learning how to windsurf
